Date,Count,Hour,Temp,Humidity,WindSpeed,Visibility,DewPointTemp,Solar Radiation,Rainfall,Snowfall,Seasons,Holiday,Functioning Day
01/12/2017,0.0675,0,-5.2,37,2.2,2000,-17.6,0.0,0.0,0.0,winter,No Holiday,Yes
01/12/2017,0.005,1,-5.5,38,0.8,2000,-17.6,0.0,0.0,0.0,winter,No Holiday,Yes
01/12/2017,-0.03375,2,-6.0,39,1.0,2000,-17.7,0.0,0.0,0.0,winter,No Holiday,Yes
01/12/2017,-0.11625,3,-6.2,40,0.9,2000,-17.6,0.0,0.0,0.0,winter,No Holiday,Yes
01/12/2017,-0.1525,4,-6.0,36,2.3,2000,-18.6,0.0,0.0,0.0,winter,No Holiday,Yes
01/12/2017,-0.125,5,-6.4,37,1.5,2000,-18.7,0.0,0.0,0.0,winter,No Holiday,Yes
01/12/2017,-0.02375,6,-6.6,35,1.3,2000,-19.5,0.0,0.0,0.0,winter,No Holiday,Yes
01/12/2017,0.325,7,-7.4,38,0.9,2000,-19.3,0.0,0.0,0.0,winter,No Holiday,Yes
01/12/2017,0.9125,8,-7.6,37,1.1,2000,-19.8,0.01,0.0,0.0,winter,No Holiday,Yes
01/12/2017,0.3625,9,-6.5,27,0.5,1928,-22.4,0.23,0.0,0.0,winter,No Holiday,Yes
01/12/2017,0.17375,10,-3.5,24,1.2,1996,-21.2,0.65,0.0,0.0,winter,No Holiday,Yes
01/12/2017,0.2,11,-0.5,21,1.3,1936,-20.2,0.94,0.0,0.0,winter,No Holiday,Yes
01/12/2017,0.31125,12,1.7,23,1.4,2000,-17.2,1.11,0.0,0.0,winter,No Holiday,Yes
01/12/2017,0.31375,13,2.4,25,1.6,2000,-15.6,1.16,0.0,0.0,winter,No Holiday,Yes
01/12/2017,0.30875,14,3.0,26,2.0,2000,-14.6,1.01,0.0,0.0,winter,No Holiday,Yes
01/12/2017,0.32875,15,2.1,36,3.2,2000,-11.4,0.54,0.0,0.0,winter,No Holiday,Yes
01/12/2017,0.355,16,1.2,54,4.2,793,-7.0,0.24,0.0,0.0,winter,No Holiday,Yes
01/12/2017,0.44375,17,0.8,58,1.6,2000,-6.5,0.08,0.0,0.0,winter,No Holiday,Yes
01/12/2017,0.8275,18,0.6,66,1.4,2000,-5.0,0.0,0.0,0.0,winter,No Holiday,Yes
01/12/2017,0.5,19,0.0,77,1.7,2000,-3.5,0.0,0.0,0.0,winter,No Holiday,Yes
01/12/2017,0.2825,20,-0.3,79,1.5,1913,-3.5,0.0,0.0,0.0,winter,No Holiday,Yes
01/12/2017,0.25625,21,-0.8,81,0.8,1687,-3.6,0.0,0.0,0.0,winter,No Holiday,Yes
01/12/2017,0.2475,22,-0.9,83,1.5,1380,-3.4,0.0,0.0,0.0,winter,No Holiday,Yes
01/12/2017,0.15375,23,-1.3,84,1.0,1265,-3.6,0.0,0.0,0.0,winter,No Holiday,Yes
02/12/2017,0.16,0,-1.8,87,1.1,994,-3.6,0.0,0.0,0.0,winter,No Holiday,Yes
02/12/2017,0.135,1,-2.2,86,0.6,990,-4.2,0.0,0.0,0.0,winter,No Holiday,Yes
02/12/2017,0.0775,2,-2.9,86,1.5,1256,-4.9,0.0,0.0,0.0,winter,No Holiday,Yes
02/12/2017,-0.04125,3,-3.5,81,2.2,1221,-6.2,0.0,0.0,0.0,winter,No Holiday,Yes
02/12/2017,-0.13875,4,-3.8,79,2.0,1167,-6.9,0.0,0.0,0.0,winter,No Holiday,Yes
02/12/2017,-0.15125,5,-4.0,79,1.5,1202,-7.1,0.0,0.0,0.0,winter,No Holiday,Yes
02/12/2017,-0.1625,6,-4.3,82,2.1,1178,-6.9,0.0,0.0,0.0,winter,No Holiday,Yes
02/12/2017,-0.0675,7,-4.4,81,2.5,1276,-7.1,0.0,0.0,0.0,winter,No Holiday,Yes
02/12/2017,0.02375,8,-4.2,79,2.1,1436,-7.3,0.01,0.0,0.0,winter,No Holiday,Yes
02/12/2017,0.16,9,-2.9,68,1.6,1487,-7.9,0.3,0.0,0.0,winter,No Holiday,Yes
02/12/2017,0.1675,10,-0.4,57,1.6,1309,-7.8,0.8,0.0,0.0,winter,No Holiday,Yes
02/12/2017,0.235,11,1.9,49,1.8,1406,-7.7,1.0,0.0,0.0,winter,No Holiday,Yes
