Date,Count,Hour,Temp,Humidity,WindSpeed,Visibility,DewPointTemp,SolarRadiation,Rainfall,Snowfall,Seasons,Holiday,Functioning Day,DayOfWeek,RushHour,VSW,VSW%,ComfortIndex,ComfortIndexScaled,ComfortAdd
2018-03-01,-0.0831578947368421,0,2.0,96,1.3,1894,1.4,0.0,2.0,0.0,1.0,Holiday,Yes,3,0,0.0,0.0,2.2750000000000004,0.26,0.34
2018-03-01,-0.0031578947368421,1,2.1,97,0.2,859,1.6,0.0,0.0,0.0,1.0,Holiday,Yes,3,0,1.6,0.0,2.3046,0.26,0.34
2018-03-01,0.031578947368421,2,2.0,97,1.0,580,1.5,0.0,0.0,0.0,1.0,Holiday,Yes,3,0,3.0,0.01,2.2062500000000003,0.25,0.34
2018-03-01,-0.0610526315789473,3,1.6,97,2.3,469,1.1,0.0,0.1,0.0,1.0,Holiday,Yes,3,0,3.3000000000000003,0.01,1.8128500000000003,0.24,0.34
2018-03-01,-0.1284210526315789,4,1.6,97,1.1,636,1.1,0.0,0.0,0.0,1.0,Holiday,Yes,3,0,4.4,0.01,1.8128500000000003,0.24,0.34
2018-03-01,-0.1463157894736842,5,2.2,97,2.9,362,1.7,0.0,0.0,0.0,1.0,Holiday,Yes,3,0,8.5,0.01,2.4029500000000006,0.26,0.34
2018-03-01,-0.1231578947368421,6,3.0,96,2.7,303,2.4,0.0,0.4,0.0,1.0,Holiday,Yes,3,0,14.399999999999999,0.02,3.253,0.29,0.34
2018-03-01,-0.0936842105263157,7,2.6,89,4.3,320,0.9,0.0,0.0,0.0,1.0,Holiday,Yes,3,1,6.3,0.01,3.31995,0.29,0.34
2018-03-01,-0.0021052631578947,8,1.5,80,3.2,1246,-1.5,0.04,0.0,0.0,1.0,Holiday,Yes,3,1,-12.0,-0.02,2.9299999999999997,0.28,0.33
2018-03-01,0.0105263157894736,9,0.1,78,4.9,615,-3.2,0.09,0.0,0.0,1.0,Holiday,Yes,3,1,-28.8,-0.05,1.8424,0.24,0.33
2018-03-01,0.0431578947368421,10,0.1,53,5.3,1022,-8.3,1.12,0.0,0.0,1.0,Holiday,Yes,3,0,-83.0,-0.14,3.8224000000000005,0.3,0.32
2018-03-01,0.0936842105263157,11,0.8,52,4.6,1035,-7.9,2.2,0.0,0.0,1.0,Holiday,Yes,3,0,-86.9,-0.15,4.4168,0.32,0.32
2018-03-01,0.1694736842105263,12,0.5,46,4.7,1172,-9.8,2.49,0.0,0.0,1.0,Holiday,Yes,3,0,-117.60000000000001,-0.2,4.658,0.33,0.31
2018-03-01,0.2189473684210526,13,1.4,37,4.0,1681,-11.7,2.95,0.0,0.0,1.0,Holiday,Yes,3,0,-152.1,-0.26,5.93915,0.37,0.29
2018-03-01,0.2368421052631578,14,1.2,36,6.0,1430,-12.2,2.86,0.0,0.0,1.0,Holiday,Yes,3,0,-170.79999999999998,-0.29,5.881600000000001,0.37,0.29
2018-03-01,0.3242105263157894,15,1.6,35,4.5,1567,-12.2,2.54,0.0,0.0,1.0,Holiday,Yes,3,0,-183.0,-0.31,6.21175,0.38,0.28
2018-03-01,0.3263157894736842,16,1.4,33,4.8,1480,-13.1,1.98,0.0,0.0,1.0,Holiday,Yes,3,0,-209.6,-0.36,6.2273499999999995,0.38,0.27
2018-03-01,0.2873684210526316,17,0.4,37,5.2,1366,-12.6,1.23,0.0,0.0,1.0,Holiday,Yes,3,1,-214.2,-0.37,5.28565,0.35,0.28
2018-03-01,0.1757894736842105,18,-0.8,40,4.7,1429,-12.7,0.43,0.0,0.0,1.0,Holiday,Yes,3,1,-228.6,-0.39,4.2490000000000006,0.32,0.29
2018-03-01,0.0852631578947368,19,-1.7,45,3.3,1375,-12.1,0.01,0.0,0.0,1.0,Holiday,Yes,3,1,-229.9,-0.4,3.200500000000001,0.28,0.3
2018-03-01,0.1010526315789473,20,-2.2,49,3.5,1325,-11.4,0.0,0.0,0.0,1.0,Holiday,Yes,3,0,-228.0,-0.39,2.48435,0.26,0.31
2018-03-01,0.0652631578947368,21,-3.0,50,3.7,1301,-11.9,0.0,0.0,0.0,1.0,Holiday,Yes,3,0,-249.9,-0.43,1.8125,0.24,0.31
2018-03-01,0.0421052631578947,22,-3.6,52,3.7,1277,-12.0,0.0,0.0,0.0,1.0,Holiday,Yes,3,0,-264.0,-0.45,1.1784000000000003,0.22,0.32
2018-03-01,0.0421052631578947,23,-4.0,52,3.4,1272,-12.4,0.0,0.0,0.0,1.0,Holiday,Yes,3,0,-285.2,-0.49,0.8840000000000003,0.21,0.32
2018-03-02,0.0063157894736842,0,-4.3,53,2.6,1334,-12.4,0.0,0.0,0.0,1.0,No Holiday,Yes,4,0,-0.0,-0.0,0.5598000000000001,0.2,0.34
2018-03-02,-0.0442105263157894,1,-4.6,52,2.1,1372,-12.9,0.0,0.0,0.0,1.0,No Holiday,Yes,4,0,-12.9,-0.02,0.442400000000001,0.2,0.34
2018-03-02,-0.0831578947368421,2,-5.3,52,1.2,1434,-13.6,0.0,0.0,0.0,1.0,No Holiday,Yes,4,0,-27.2,-0.05,-0.07279999999999909,0.18,0.34
2018-03-02,-0.1063157894736842,3,-5.7,50,1.7,1559,-14.4,0.0,0.0,0.0,1.0,No Holiday,Yes,4,0,-43.2,-0.07,-0.14499999999999957,0.18,0.34
2018-03-02,-0.1084210526315789,4,-5.8,48,1.5,1552,-15.0,0.0,0.0,0.0,1.0,No Holiday,Yes,4,0,-60.0,-0.1,0.0058000000000006935,0.18,0.34
2018-03-02,-0.0894736842105263,5,-6.1,49,1.0,1621,-15.1,0.0,0.0,0.0,1.0,No Holiday,Yes,4,0,-75.5,-0.13,-0.321699999999999,0.17,0.34
2018-03-02,-0.0157894736842105,6,-6.4,50,1.5,1593,-15.1,0.0,0.0,0.0,1.0,No Holiday,Yes,4,0,-90.6,-0.16,-0.6524999999999999,0.16,0.34
2018-03-02,0.2642105263157894,7,-6.6,52,0.5,1555,-14.8,0.0,0.0,0.0,1.0,No Holiday,Yes,4,1,-103.60000000000001,-0.18,-1.0295999999999994,0.15,0.34
2018-03-02,0.491578947368421,8,-6.2,45,0.4,1600,-16.2,0.17,0.0,0.0,1.0,No Holiday,Yes,4,1,-129.6,-0.22,0.06175000000000086,0.18,0.34
2018-03-02,0.2031578947368421,9,-4.6,34,1.2,1583,-18.1,0.87,0.0,0.0,1.0,No Holiday,Yes,4,1,-162.9,-0.28,2.3333000000000004,0.26,0.32
2018-03-02,0.1305263157894736,10,-1.8,30,2.1,1608,-17.1,1.59,0.0,0.0,1.0,No Holiday,Yes,4,0,-171.0,-0.29,4.4755,0.33,0.3
2018-03-02,0.2031578947368421,11,0.1,30,1.8,1640,-15.4,2.19,0.0,0.0,1.0,No Holiday,Yes,4,0,-169.4,-0.29,5.644,0.36,0.29
2018-03-02,0.2505263157894737,12,1.8,26,2.2,1556,-15.7,2.61,0.0,0.0,1.0,No Holiday,Yes,4,0,-188.39999999999998,-0.32,6.9689,0.4,0.27
2018-03-02,0.2368421052631578,13,2.3,22,3.1,1627,-17.2,2.83,0.0,0.0,1.0,No Holiday,Yes,4,0,-223.6,-0.38,7.5338,0.42,0.26
2018-03-02,0.3157894736842105,14,3.4,23,2.4,1545,-15.8,2.74,0.0,0.0,1.0,No Holiday,Yes,4,0,-221.20000000000002,-0.38,8.10085,0.44,0.25
2018-03-02,0.3294736842105263,15,4.3,22,1.3,1837,-15.6,2.48,0.0,0.0,1.0,No Holiday,Yes,4,0,-234.0,-0.4,8.675799999999999,0.46,0.24
2018-03-02,0.4463157894736842,16,5.2,21,2.1,1721,-15.4,1.97,0.0,0.0,1.0,No Holiday,Yes,4,0,-246.4,-0.42,9.240850000000002,0.48,0.23
2018-03-02,0.5063157894736842,17,4.3,21,2.5,1961,-16.1,1.13,0.0,0.0,1.0,No Holiday,Yes,4,1,-273.70000000000005,-0.47,8.7319,0.46,0.22
2018-03-02,0.7410526315789474,18,3.5,22,0.9,1961,-16.2,0.43,0.0,0.0,1.0,No Holiday,Yes,4,1,-291.59999999999997,-0.5,8.219000000000001,0.44,0.22
2018-03-02,0.44,19,2.0,26,2.3,1985,-15.5,0.02,0.0,0.0,1.0,No Holiday,Yes,4,1,-294.5,-0.51,7.0875,0.41,0.24
2018-03-02,0.291578947368421,20,1.2,35,2.5,1977,-12.6,0.0,0.0,0.0,1.0,No Holiday,Yes,4,0,-252.0,-0.43,5.954750000000001,0.37,0.27
2018-03-02,0.2589473684210526,21,1.0,34,1.4,1880,-13.1,0.0,0.0,0.0,1.0,No Holiday,Yes,4,0,-275.09999999999997,-0.47,5.9005,0.37,0.26
2018-03-02,0.2778947368421052,22,0.5,38,0.9,1907,-12.2,0.0,0.0,0.0,1.0,No Holiday,Yes,4,0,-268.4,-0.46,5.274,0.35,0.27
2018-03-02,0.1410526315789473,23,0.3,38,0.2,1895,-12.3,0.0,0.0,0.0,1.0,No Holiday,Yes,4,0,-282.90000000000003,-0.49,5.1422,0.35,0.27
2018-03-03,0.071578947368421,0,0.5,34,0.4,1889,-13.5,0.0,0.0,0.0,1.0,No Holiday,Yes,5,0,-0.0,-0.0,5.582,0.36,0.34
2018-03-03,0.0831578947368421,1,0.6,36,0.4,1933,-12.7,0.0,0.0,0.0,1.0,No Holiday,Yes,5,0,-12.7,-0.02,5.4928,0.36,0.33
2018-03-03,0.0273684210526315,2,0.9,35,0.5,1856,-12.8,0.0,0.0,0.0,1.0,No Holiday,Yes,5,0,-25.6,-0.04,5.7620000000000005,0.37,0.33
2018-03-03,-0.0010526315789473,3,0.8,38,0.8,1594,-11.9,0.0,0.0,0.0,1.0,No Holiday,Yes,5,0,-35.7,-0.06,5.4717,0.36,0.33
2018-03-03,-0.06,4,0.6,43,0.9,1599,-10.5,0.0,0.0,0.0,1.0,No Holiday,Yes,5,0,-42.0,-0.07,4.95765,0.34,0.33
2018-03-03,-0.1,5,0.8,39,1.0,1463,-11.6,0.0,0.0,0.0,1.0,No Holiday,Yes,5,0,-58.0,-0.1,5.39635,0.35,0.32
