Date,Count,Hour,Temp,Humidity,WindSpeed,Visibility,DewPointTemp,SolarRadiation,Rainfall,Snowfall,Seasons,Holiday,FunctioningDay,DayOfWeek,RushHour,Month,HourDPT,HourDPT%,ComfortIndex,ComfortIndexScaled,ComfortAdd,ComfortAddScaled
2018-03-21,231,21,1.2,92,0.7,1474,0.0,0.0,0.5,0.0,1.0,0,1,2,0,3,0.0,0.0,1.7851999999999997,0.23,0.0,0.32
2018-04-29,1950,18,20.1,28,3.2,1114,1.0,0.89,0.0,0.0,1.0,0,1,6,1,4,18.0,0.03,17.8824,0.71,0.54,0.34
2018-05-11,223,5,11.9,84,1.5,358,9.2,0.0,0.0,0.0,1.0,0,1,4,0,5,46.0,0.08,12.1288,0.54,0.97,0.35
2018-04-14,513,1,14.1,25,1.8,2000,-5.6,0.0,0.0,0.0,1.0,0,1,5,0,4,-5.6,-0.01,14.265,0.61,-0.14,0.32
2018-05-24,880,10,19.9,27,2.7,1775,0.3,2.44,0.0,0.0,1.0,0,1,3,0,5,3.0,0.01,17.7319,0.71,0.18,0.33
2018-04-19,316,9,12.4,29,1.5,1380,-5.1,1.49,0.0,0.0,1.0,0,1,3,1,4,-45.9,-0.08,13.22005,0.57,-1.06,0.3
2018-05-17,51,4,19.2,98,2.4,1965,18.8,0.0,19.0,0.0,1.0,0,1,3,0,5,75.2,0.13,19.1483,0.75,2.49,0.39
2018-03-12,106,5,3.3,53,0.4,1208,-5.3,0.0,0.0,0.0,1.0,0,1,0,0,3,-26.5,-0.05,6.1952,0.37,-0.31,0.32
2018-04-25,1651,20,16.8,29,4.3,1971,-1.3,0.01,0.0,0.0,1.0,0,1,2,0,4,-26.0,-0.04,15.90185,0.65,-0.64,0.31
2018-05-13,2055,14,19.7,64,2.9,929,12.6,1.99,0.0,0.0,1.0,0,1,6,0,5,176.4,0.3,18.6704,0.74,5.6,0.47
2018-05-17,467,12,21.7,96,0.8,1773,21.0,0.81,1.5,0.0,1.0,0,1,3,0,5,252.0,0.43,21.5416,0.82,9.26,0.56
2018-03-10,74,6,1.1,78,1.1,538,-2.3,0.0,0.0,0.0,1.0,0,1,5,0,3,-13.8,-0.02,2.7214,0.26,-0.05,0.32
2018-04-09,1069,22,9.6,41,0.5,1428,-3.0,0.0,0.0,0.0,1.0,0,1,0,0,4,-66.0,-0.11,11.19005,0.51,-1.23,0.29
2018-05-26,232,4,14.8,73,0.5,994,9.9,0.0,0.0,0.0,1.0,0,1,5,0,5,39.6,0.07,14.75545,0.62,1.03,0.35
2018-05-19,1595,22,18.4,34,1.2,2000,2.2,0.0,0.0,0.0,1.0,0,1,5,0,5,48.400000000000006,0.08,16.984299999999998,0.69,1.36,0.36
2018-03-10,416,10,3.5,65,2.4,539,-2.4,0.87,0.0,0.0,1.0,0,1,5,0,3,-24.0,-0.04,5.6175,0.35,-0.22,0.32
2018-04-26,930,11,18.1,42,2.7,1112,4.9,2.17,0.0,0.0,1.0,0,1,3,0,4,53.900000000000006,0.09,16.9516,0.69,1.53,0.36
2018-04-18,154,5,6.7,50,1.6,1774,-3.0,0.0,0.0,0.0,1.0,0,1,2,0,4,-15.0,-0.03,8.845,0.44,-0.27,0.32
2018-05-05,716,1,12.1,54,1.3,1820,3.0,0.0,0.0,0.0,1.0,0,1,5,0,5,3.0,0.01,12.7072,0.56,0.13,0.33
2018-03-15,51,3,16.5,69,2.4,1659,10.7,0.0,0.0,0.0,1.0,0,1,3,0,3,32.099999999999994,0.06,16.159,0.66,0.97,0.35
2018-04-04,1413,16,17.9,42,1.1,2000,4.7,2.25,0.0,0.0,1.0,0,1,2,0,4,75.2,0.13,16.8154,0.68,2.19,0.38
2018-04-16,126,2,7.1,64,0.9,1756,0.7,0.0,0.0,0.0,1.0,0,1,0,0,4,1.4,0.0,8.565199999999999,0.44,0.0,0.32
2018-05-05,508,2,12.1,53,1.1,1948,2.7,0.0,0.0,0.0,1.0,0,1,5,0,5,5.4,0.01,12.7204,0.56,0.13,0.33
2018-03-23,664,9,3.3,72,1.4,618,-1.2,0.61,0.0,0.0,1.0,0,1,4,1,3,-10.8,-0.02,5.0248,0.33,-0.1,0.32
2018-04-20,979,7,11.3,62,0.7,774,4.2,0.17,0.0,0.0,1.0,0,1,4,1,4,29.4,0.05,11.9688,0.54,0.6,0.34
2018-04-01,588,23,16.3,82,1.3,480,13.2,0.0,0.0,0.0,1.0,0,1,6,0,4,303.6,0.52,16.1218,0.66,8.38,0.54
2018-05-23,2035,8,14.6,70,3.1,2000,9.1,1.28,0.0,0.0,1.0,0,1,2,1,5,72.8,0.13,14.5835,0.62,1.9,0.37
2018-05-21,1785,8,15.3,30,1.3,2000,-2.2,1.3,0.0,0.0,1.0,0,1,0,1,5,-17.6,-0.03,14.992,0.63,-0.45,0.31
